metric,n_pls,n_tech,overlap,u,p,cliffs_delta,cohens_d,mean_pls,mean_tech,median_pls,median_tech,p_adj_fdr
pos_prop_ADJ,65,0,,,,,,,,,,1.0
pos_prop_ADP,65,0,,,,,,,,,,1.0
pos_prop_ADV,65,0,,,,,,,,,,1.0
pos_prop_AUX,65,0,,,,,,,,,,1.0
pos_prop_CCONJ,65,0,,,,,,,,,,1.0
pos_prop_DET,65,0,,,,,,,,,,1.0
pos_prop_INTJ,65,0,,,,,,,,,,1.0
pos_prop_NOUN,65,0,,,,,,,,,,1.0
pos_prop_NUM,65,0,,,,,,,,,,1.0
pos_prop_PART,65,0,,,,,,,,,,1.0
pos_prop_PRON,65,0,,,,,,,,,,1.0
pos_prop_PROPN,65,0,,,,,,,,,,1.0
pos_prop_PUNCT,65,0,,,,,,,,,,1.0
pos_prop_SCONJ,65,0,,,,,,,,,,1.0
pos_prop_SYM,65,0,,,,,,,,,,1.0
pos_prop_VERB,65,0,,,,,,,,,,1.0
pos_prop_X,65,0,,,,,,,,,,1.0
entropy,65,0,,,,,,,,,,1.0
perplexity,65,0,,,,,,,,,,1.0
per_word_perplexity,65,0,,,,,,,,,,1.0
flesch_reading_ease,65,0,,,,,,,,,,1.0
flesch_kincaid_grade,65,0,,,,,,,,,,1.0
smog,64,0,,,,,,,,,,1.0
gunning_fog,65,0,,,,,,,,,,1.0
automated_readability_index,65,0,,,,,,,,,,1.0
coleman_liau_index,65,0,,,,,,,,,,1.0
lix,65,0,,,,,,,,,,1.0
rix,65,0,,,,,,,,,,1.0
n_stop_words,65,0,,,,,,,,,,1.0
alpha_ratio,65,0,,,,,,,,,,1.0
mean_word_length,65,0,,,,,,,,,,1.0
doc_length,65,0,,,,,,,,,,1.0
symbol_to_word_ratio_#,65,0,,,,,,,,,,1.0
proportion_ellipsis,65,0,,,,,,,,,,1.0
proportion_bullet_points,65,0,,,,,,,,,,1.0
contains_lorem ipsum,65,0,,,,,,,,,,1.0
duplicate_line_chr_fraction,65,0,,,,,,,,,,1.0
duplicate_paragraph_chr_fraction,65,0,,,,,,,,,,1.0
duplicate_ngram_chr_fraction_5,65,0,,,,,,,,,,1.0
duplicate_ngram_chr_fraction_6,65,0,,,,,,,,,,1.0
duplicate_ngram_chr_fraction_7,65,0,,,,,,,,,,1.0
duplicate_ngram_chr_fraction_8,65,0,,,,,,,,,,1.0
duplicate_ngram_chr_fraction_9,65,0,,,,,,,,,,1.0
duplicate_ngram_chr_fraction_10,65,0,,,,,,,,,,1.0
top_ngram_chr_fraction_2,65,0,,,,,,,,,,1.0
top_ngram_chr_fraction_3,65,0,,,,,,,,,,1.0
top_ngram_chr_fraction_4,65,0,,,,,,,,,,1.0
first_order_coherence,64,0,,,,,,,,,,1.0
second_order_coherence,64,0,,,,,,,,,,1.0
token_length_mean,65,0,,,,,,,,,,1.0
token_length_median,65,0,,,,,,,,,,1.0
token_length_std,65,0,,,,,,,,,,1.0
sentence_length_mean,65,0,,,,,,,,,,1.0
sentence_length_median,65,0,,,,,,,,,,1.0
sentence_length_std,65,0,,,,,,,,,,1.0
syllables_per_token_mean,65,0,,,,,,,,,,1.0
syllables_per_token_median,65,0,,,,,,,,,,1.0
syllables_per_token_std,65,0,,,,,,,,,,1.0
n_tokens,65,0,,,,,,,,,,1.0
n_unique_tokens,65,0,,,,,,,,,,1.0
proportion_unique_tokens,65,0,,,,,,,,,,1.0
n_characters,65,0,,,,,,,,,,1.0
n_sentences,65,0,,,,,,,,,,1.0
dependency_distance_mean,65,0,,,,,,,,,,1.0
dependency_distance_std,65,0,,,,,,,,,,1.0
prop_adjacent_dependency_relation_mean,65,0,,,,,,,,,,1.0
prop_adjacent_dependency_relation_std,65,0,,,,,,,,,,1.0
